ProductKey,Product_ID,ProductName,ProductDimensions,ProductDescription,ProductCostPerUnit,ProductPricePerUnit,ProductCategory,ProductConstructionDays,ProductQuantity,ProductColor,ProductSurfaceFinish,ProductCompliance,ProductWeight,Version,RowIsCurrent,RowStartDate,RowEndDate,RowChangeReason
28,28,Quick-Set Cement,8.77x1.15x0.23,Remember suffer particular husband such individual.,41.07,51.95,Concrete and Cement,1,411,LightSkyBlue,Writer,True,.65,2031,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
29,29,Architectural Clay Brick,5.37x1.99x0.69,Rock seem require firm fact feeling vote.,16.26,34.55,Bricks and Blocks,17,953,Wheat,Power,False,39.62,2032,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
30,30,Metal Roof Tiles,0.61x1.61x0.55,Among rich air lot loss plan.,13.71,22.72,Roofing,27,204,DarkGray,Firm,True,24.56,2033,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
31,31,Reflective Foil Insulation,1.67x4.70x0.33,Mother argue class staff bed weight.,22.28,36.61,Insulation,15,987,Moccasin,Despite,True,33.35,2034,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
32,32,Metal Roof Tiles,4.92x3.60x0.62,Themselves society agency again area light.,16.58,36.00,Roofing,8,365,Tomato,Attack,True,7.44,2035,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
33,33,Quick-Set Cement,0.96x1.21x0.56,Strategy develop court cell magazine.,26.68,40.72,Concrete and Cement,23,891,PowderBlue,Us,False,7.37,2036,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
34,34,Galvanized Steel Sheet,9.41x1.56x0.69,Because our whatever threat half choice note available.,11.23,24.14,Steel and Metal,24,84,AliceBlue,Sort,False,14.89,2037,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
35,35,Reinforced Concrete Slab,5.81x4.50x0.34,Method themselves buy sea station.,46.32,51.01,Concrete and Cement,29,23,LavenderBlush,Leave,True,32.19,2038,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
36,36,Synthetic Slate Roofing,4.32x2.89x0.44,Everyone forget language option.,35.44,40.90,Roofing,12,679,DimGray,Item,True,8.23,2039,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
37,37,Aluminum Roofing Panels,7.02x1.01x0.75,Ball million eat safe sound along.,23.59,36.47,Steel and Metal,30,588,RosyBrown,Us,False,40.32,2040,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
38,38,Fiberglass Insulation Rolls,7.65x3.25x0.68,Expect Democrat whom center east.,45.45,63.22,Insulation,23,701,Aqua,Policy,False,29.33,2041,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
39,39,Reflective Foil Insulation,5.84x4.73x0.66,Information consumer trouble experience plant specific.,10.37,24.18,Insulation,27,217,MidnightBlue,Media,False,27.63,2042,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
40,40,Welded Wire Mesh,1.70x4.35x0.24,Watch several live hit lot.,31.94,51.49,Steel and Metal,22,607,HotPink,Do,False,31.67,2043,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
41,41,Eco-Friendly Cinder Block,1.50x4.97x0.57,Admit accept fly sport whom.,7.68,18.23,Bricks and Blocks,27,187,PaleTurquoise,Personal,True,4.45,2044,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
42,42,Classic Red Brick,3.95x1.37x0.85,All story agency magazine human.,15.58,17.63,Bricks and Blocks,13,884,MediumSpringGreen,Each,True,15.25,2045,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
43,43,Galvanized Steel Sheet,5.48x3.14x0.77,Inside some position happy police after another.,11.70,17.46,Steel and Metal,29,241,PaleVioletRed,Positive,False,2.22,2046,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
44,44,Stainless Steel Rods,5.84x2.67x0.28,Cultural camera kid morning according who accept.,10.90,26.53,Steel and Metal,21,181,PaleVioletRed,Election,False,25.45,2047,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
45,45,Waterproof Cement Coating,2.47x2.67x0.20,Cause short speech challenge brother.,44.99,63.50,Concrete and Cement,2,458,Blue,Particularly,False,37.19,2049,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
46,46,Galvanized Steel Sheet,5.27x4.33x0.56,Whatever reflect important subject measure thing.,17.71,18.78,Steel and Metal,19,338,GhostWhite,Mr,False,13.28,2050,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
47,47,Welded Wire Mesh,7.32x2.64x0.50,How ten I tax middle huge somebody.,46.99,59.54,Steel and Metal,20,577,DarkTurquoise,Business,False,18.28,2051,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
48,48,Spray Foam Insulation Kit,5.91x1.39x0.59,Part open relate other deep less fill.,45.47,60.26,Insulation,4,184,SaddleBrown,Network,False,37.08,2052,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
49,49,Classic Red Brick,7.32x4.59x0.87,Win court although condition magazine agency eight.,24.41,39.61,Bricks and Blocks,17,31,DeepPink,Fact,True,26.73,2053,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
50,50,Eco-Friendly Cinder Block,8.03x2.98x0.95,First believe never cover.,38.51,46.53,Bricks and Blocks,23,965,LavenderBlush,Back,False,24.18,2054,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
51,51,Architectural Clay Brick,8.88x1.32x0.91,Charge space certainly finish force.,14.33,24.94,Bricks and Blocks,24,63,Lavender,Term,False,40.63,2055,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
52,52,Spray Foam Insulation Kit,1.23x1.28x0.38,Go international record security.,48.90,57.43,Insulation,1,907,MediumPurple,Gun,True,18.42,2056,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
53,53,Welded Wire Mesh,8.37x0.92x0.88,Poor answer shake ahead ground.,6.69,21.34,Steel and Metal,14,839,Chartreuse,Will,False,45.91,2057,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
54,54,Cellulose Blown-In Insulation,0.98x4.84x0.81,Side senior direction space national authority staff nearly.,13.50,23.91,Insulation,21,725,LightSalmon,Throw,True,21.25,2058,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
55,55,Galvanized Steel Sheet,1.12x2.02x0.18,Executive other recognize power rate.,21.17,30.94,Steel and Metal,6,918,Yellow,Condition,True,31.23,2059,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
56,56,Reinforced Concrete Slab,2.83x0.92x0.95,Act ground your father choice clearly.,48.43,50.14,Concrete and Cement,11,761,MediumBlue,Address,True,18.19,2060,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
57,57,Rock Wool Insulation,9.26x4.21x0.11,More either message plant.,24.83,25.85,Insulation,1,262,Aquamarine,Scene,False,37.04,2061,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
58,58,Spray Foam Insulation Kit,9.68x4.03x0.20,Sense clear foot contain.,49.80,58.63,Insulation,7,524,SandyBrown,Operation,True,35.54,2062,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
59,59,Reinforced Concrete Slab,9.07x3.32x0.74,Writer type girl whether choose beyond.,35.03,52.76,Concrete and Cement,20,448,Peru,Score,False,36.81,2063,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
60,60,Rock Wool Insulation,4.35x1.37x0.72,Early here pass let method.,20.72,25.56,Insulation,22,936,MediumTurquoise,Must,True,41.42,2064,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
61,61,Solar Roof Panels,4.29x0.79x0.41,Think individual huge statement program degree.,18.20,33.49,Roofing,19,616,Purple,Break,True,46.35,2065,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
62,62,Waterproof Cement Coating,6.72x4.91x0.24,Parent thought pass section dinner including.,46.50,52.55,Concrete and Cement,18,418,Gainsboro,Clearly,True,29.57,2066,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
63,63,Aluminum Roofing Panels,2.04x4.08x0.18,Moment trial know certainly someone.,41.34,46.36,Steel and Metal,17,584,DarkSlateBlue,Whose,False,14.50,2067,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
64,64,Waterproof Cement Coating,6.50x4.31x0.35,Activity forget air able part.,21.01,35.90,Concrete and Cement,16,203,LavenderBlush,Toward,True,30.43,2068,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
65,65,Synthetic Slate Roofing,8.39x3.98x0.82,Certainly clearly number maintain should.,20.37,32.27,Roofing,26,902,Blue,Try,True,12.49,2069,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
66,66,Welded Wire Mesh,4.70x2.68x0.76,War late husband smile civil school their.,15.30,25.64,Steel and Metal,15,20,CornflowerBlue,Ever,False,1.88,2070,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
67,67,Reflective Foil Insulation,4.99x3.64x0.31,Political by someone.,7.44,15.93,Insulation,3,428,DeepSkyBlue,Point,True,14.74,2071,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
68,68,Metal Roof Tiles,5.34x0.86x0.34,Wide stage and peace three tell generation bed.,8.25,28.22,Roofing,7,855,PaleGreen,Market,True,29.80,2072,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
69,69,Classic Red Brick,7.35x0.62x0.22,Open be child let offer.,47.02,66.43,Bricks and Blocks,27,856,LemonChiffon,Save,True,24.13,2073,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
70,70,Cellulose Blown-In Insulation,6.61x2.56x0.20,Here dream case culture night mean art.,8.64,22.24,Insulation,29,679,DarkGoldenRod,Other,True,15.00,2074,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
71,71,Asphalt Shingles,6.75x2.40x0.98,Serve significant foreign Democrat.,41.99,43.41,Roofing,13,757,PaleGreen,Citizen,True,46.24,2075,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
72,72,Architectural Clay Brick,0.88x0.54x0.62,Interview scientist he song.,20.48,31.90,Bricks and Blocks,26,4,White,Recent,True,22.09,2076,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
73,73,Architectural Clay Brick,1.93x1.07x0.90,Now will head close.,8.39,10.24,Bricks and Blocks,2,223,Plum,Push,True,7.86,2077,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
74,74,Stainless Steel Rods,9.14x4.49x0.61,Particularly community center after represent.,44.82,57.26,Steel and Metal,26,572,Olive,Discover,False,37.94,2078,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
75,75,Lightweight Concrete Aggregate,7.58x4.50x0.76,Artist employee great.,49.35,50.65,Concrete and Cement,18,445,Lavender,Pick,False,23.72,2079,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
76,76,Lightweight Concrete Aggregate,8.32x2.29x0.85,Understand avoid evening situation wrong show.,16.18,21.07,Concrete and Cement,15,89,Beige,Draw,False,14.79,2080,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
77,77,Synthetic Slate Roofing,9.53x3.53x0.45,Arrive recently check I expert.,46.30,55.68,Roofing,3,25,Cornsilk,My,True,35.26,2081,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
78,78,Designer Paving Stones,9.00x2.90x0.80,Side plan yourself office century.,17.44,36.11,Bricks and Blocks,6,182,Brown,Too,False,25.54,2082,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
79,79,Fiberglass Insulation Rolls,4.50x3.17x0.35,Item remain cut beautiful increase whatever after.,48.34,52.17,Insulation,6,419,RosyBrown,Significant,False,6.33,2083,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
80,80,Insulated Concrete Block,5.20x1.83x0.61,Southern reflect president thank camera short.,25.45,33.09,Bricks and Blocks,3,613,Maroon,Personal,True,23.10,2084,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
81,81,Reflective Foil Insulation,3.53x4.99x0.11,Do act base bring event.,11.02,21.19,Insulation,5,123,NavajoWhite,Have,False,37.04,2085,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
82,82,Spray Foam Insulation Kit,1.10x3.19x0.20,Look result age seem various forget.,6.81,10.79,Insulation,3,708,Fuchsia,Describe,False,16.83,2086,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
83,83,Lightweight Concrete Aggregate,9.38x0.78x0.56,Focus mouth bed him.,19.75,29.41,Concrete and Cement,29,812,SeaShell,Enjoy,True,11.51,2087,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
84,84,Eco-Friendly Cinder Block,9.85x2.79x0.55,News think movie outside she individual.,36.58,39.22,Bricks and Blocks,23,279,PaleGreen,Such,False,34.62,2088,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
85,85,Insulated Concrete Block,5.44x2.43x0.32,Now finish language without moment act.,13.00,32.09,Bricks and Blocks,27,534,DarkRed,Eight,False,44.25,2089,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
86,86,Classic Red Brick,5.23x3.82x0.48,Kind that pay also shoulder could.,16.23,23.65,Bricks and Blocks,18,166,SaddleBrown,Me,False,1.74,2090,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
87,87,Architectural Clay Brick,1.39x4.78x0.41,Indicate treatment page able let star teach.,5.25,9.12,Bricks and Blocks,16,992,AntiqueWhite,Forget,True,22.43,2091,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
88,88,Aluminum Roofing Panels,1.81x0.78x0.31,Clearly professor put yes.,48.27,58.58,Steel and Metal,5,277,WhiteSmoke,Move,True,16.76,2092,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
89,89,Quick-Set Cement,6.96x3.83x0.21,Teacher agree ability put stuff remember imagine.,7.53,21.45,Concrete and Cement,3,289,PaleGoldenRod,Suffer,True,2.81,2093,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
90,90,Synthetic Slate Roofing,3.14x4.76x0.45,Later think commercial trouble rate.,37.98,48.73,Roofing,1,548,Thistle,Shoulder,False,31.12,2094,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
91,91,Clay Roof Shingles,7.14x0.79x0.51,Kid help law term.,36.78,51.72,Roofing,19,91,NavajoWhite,Choice,True,37.17,2095,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
92,92,Architectural Clay Brick,5.35x0.55x0.30,Trial opportunity beat college add entire drop box.,36.86,45.27,Bricks and Blocks,4,814,DarkMagenta,Consumer,True,36.64,2096,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
93,93,Reinforced Concrete Slab,4.11x2.15x0.63,Four hit pattern score science.,27.90,36.00,Concrete and Cement,5,430,SteelBlue,Heart,False,27.16,2097,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
94,94,Classic Red Brick,6.71x2.96x0.12,Think forget laugh interesting TV notice century.,30.96,43.86,Bricks and Blocks,23,646,OliveDrab,Worker,True,8.28,2098,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
95,95,Spray Foam Insulation Kit,5.24x1.69x0.27,Day able character approach fly.,24.24,37.74,Insulation,9,878,OldLace,Less,True,20.92,2099,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
96,96,Cellulose Blown-In Insulation,4.12x3.91x0.85,Measure read hotel nor leg majority.,44.04,55.93,Insulation,29,431,Orchid,Write,False,14.78,2100,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
97,97,Insulated Concrete Block,4.12x2.56x0.94,Of top your tax voice.,46.16,51.90,Bricks and Blocks,13,566,DarkGreen,Task,True,15.33,2101,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
98,98,Cellulose Blown-In Insulation,2.66x3.88x0.93,Bed room course per person election soon tend.,49.50,63.88,Insulation,19,560,GreenYellow,Carry,True,48.29,2102,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
99,99,Eco-Friendly Cinder Block,1.73x0.52x0.57,Item dog reduce statement item north adult.,45.57,50.22,Bricks and Blocks,30,227,Ivory,Professional,False,.86,2103,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
100,100,Spray Foam Insulation Kit,2.95x4.39x0.35,Over billion yeah ability similar school bill.,39.76,45.28,Insulation,29,427,DarkOrchid,Court,False,28.07,2104,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
101,101,Aluminum Roofing Panels,3.51x2.08x1.00,Seat civil study best.,38.51,46.93,Steel and Metal,13,117,LightGray,Party,False,33.29,2105,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
102,102,Cellulose Blown-In Insulation,0.59x1.71x0.17,Son the ground bank worker very see particularly.,29.73,42.34,Insulation,20,909,HoneyDew,Bed,True,4.04,2106,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
103,103,Eco-Friendly Cinder Block,9.95x4.85x0.19,Mouth response sell compare democratic argue similar.,20.03,27.40,Bricks and Blocks,21,744,MediumPurple,Still,True,34.15,2107,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
104,104,Classic Red Brick,7.15x1.91x0.35,Dog computer agency main foot religious public than.,36.81,54.56,Bricks and Blocks,23,768,Brown,Almost,False,36.14,2108,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
105,105,Insulated Concrete Block,1.77x2.00x0.13,And set then wind floor.,30.86,38.25,Bricks and Blocks,12,545,PaleVioletRed,Enough,False,31.27,2109,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
106,106,Synthetic Slate Roofing,5.66x4.37x0.78,Subject lose decade your.,46.11,50.34,Roofing,1,460,Magenta,College,False,41.85,2110,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
107,107,Waterproof Cement Coating,4.70x4.44x0.45,Sure remain many whom society.,39.48,58.00,Concrete and Cement,10,676,SeaGreen,Simply,True,6.82,2111,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
108,108,Solar Roof Panels,9.89x3.69x0.78,Thank responsibility them matter.,40.18,56.74,Roofing,2,77,Black,Reach,True,47.87,2112,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
109,109,Asphalt Shingles,7.15x3.94x0.41,Forget quickly true executive certain capital.,44.50,46.71,Roofing,30,332,Gray,Environmental,True,20.28,2113,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
110,110,Designer Paving Stones,9.73x3.74x0.89,Issue social play quality near.,45.97,58.89,Bricks and Blocks,28,228,FireBrick,Partner,True,22.77,2114,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
111,111,Asphalt Shingles,9.79x4.31x0.23,Treatment blood statement dream time.,23.73,35.59,Roofing,12,40,DarkCyan,Yes,True,18.97,2115,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
112,112,Spray Foam Insulation Kit,9.83x1.72x0.83,Reach fish he six point amount.,26.45,42.67,Insulation,6,263,PeachPuff,Some,True,44.92,2116,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
113,113,Asphalt Shingles,1.01x3.61x0.32,Hard sense woman east challenge.,16.55,30.92,Roofing,2,442,Peru,Step,True,8.64,2117,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
114,114,Clay Roof Shingles,7.30x2.25x0.71,Man hold police short just.,33.76,50.75,Roofing,11,786,SlateGray,Pattern,True,14.79,2118,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
115,115,Rock Wool Insulation,2.54x0.82x0.55,Resource business difficult perform reach sign yeah.,29.14,38.48,Insulation,7,763,DarkSlateBlue,Wish,False,2.07,2119,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
116,116,Waterproof Cement Coating,7.47x4.80x0.81,Able industry treat worry prove break relate including.,21.29,34.34,Concrete and Cement,25,106,MediumSeaGreen,Note,True,33.61,2120,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
117,117,Clay Roof Shingles,1.10x4.25x0.62,Trade general pay.,19.04,32.51,Roofing,6,738,OliveDrab,Summer,True,46.59,2121,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
