Production_ID,ProductionStatus,Order_ID,Member_ID,EventTimestamp
177,Cancelled,36,35,2024-06-13
178,In Delivery,1617,20,2024-06-13
179,Complete,644,37,2024-06-13
180,Complete,305,36,2024-06-13
181,Complete,1545,28,2024-06-13
182,Complete,224,14,2024-06-13
183,In Process,1949,21,2024-06-13
184,Cancelled,1640,27,2024-06-13
185,Complete,1191,27,2024-06-13
186,Complete,53,1,2024-06-13
187,Cancelled,949,15,2024-06-13
188,Cancelled,1380,23,2024-06-13
189,Cancelled,1443,29,2024-06-13
190,Cancelled,882,8,2024-06-13
191,In Process,581,31,2024-06-13
192,In Process,1306,39,2024-06-13
193,In Process,1164,8,2024-06-13
194,In Process,1682,16,2024-06-13
195,Cancelled,599,11,2024-06-13
196,In Delivery,560,10,2024-06-13
197,Cancelled,928,5,2024-06-13
198,Cancelled,1722,27,2024-06-13
199,In Process,1011,9,2024-06-13
200,Complete,83,25,2024-06-13
201,Complete,406,35,2024-06-13
202,In Delivery,1894,11,2024-06-13
203,In Delivery,1131,26,2024-06-13
204,In Process,1381,7,2024-06-13
205,In Process,864,34,2024-06-13
206,Cancelled,283,20,2024-06-13
207,Cancelled,525,7,2024-06-13
208,Complete,759,21,2024-06-13
209,Complete,1261,14,2024-06-13
210,In Process,1549,18,2024-06-13
211,Cancelled,1818,30,2024-06-13
212,Complete,389,29,2024-06-13
213,In Process,1214,28,2024-06-13
214,Complete,1319,18,2024-06-13
215,Complete,1834,15,2024-06-13
216,Cancelled,1129,31,2024-06-13
217,In Process,584,35,2024-06-13
218,In Process,1266,2,2024-06-13
219,Complete,1189,15,2024-06-13
220,In Process,124,3,2024-06-13
221,Complete,1716,15,2024-06-13
222,Cancelled,294,8,2024-06-13
223,Cancelled,590,1,2024-06-13
224,Cancelled,1607,29,2024-06-13
225,Cancelled,1068,28,2024-06-13
226,Complete,180,40,2024-06-13
227,Cancelled,1406,13,2024-06-13
228,In Delivery,332,19,2024-06-13
229,In Delivery,1336,13,2024-06-13
230,Complete,1337,26,2024-06-13
231,In Process,1999,7,2024-06-13
232,In Delivery,971,19,2024-06-13
233,Cancelled,1014,24,2024-06-13
234,Complete,851,21,2024-06-13
235,In Process,148,9,2024-06-13
236,Complete,1964,17,2024-06-13
237,In Process,966,4,2024-06-13
238,In Delivery,176,7,2024-06-13
239,In Delivery,331,27,2024-06-13
240,In Process,1999,34,2024-06-13
241,In Process,864,15,2024-06-13
242,Cancelled,878,24,2024-06-13
243,In Process,1278,18,2024-06-13
244,Cancelled,1541,31,2024-06-13
245,Cancelled,454,3,2024-06-13
246,Complete,376,13,2024-06-13
247,In Delivery,758,17,2024-06-13
248,Complete,1862,4,2024-06-13
249,In Delivery,743,29,2024-06-13
250,In Process,630,33,2024-06-13
251,In Delivery,1427,37,2024-06-13
252,In Process,784,31,2024-06-13
253,In Process,155,4,2024-06-13
254,In Process,1124,38,2024-06-13
255,Cancelled,261,17,2024-06-13
256,In Delivery,1919,1,2024-06-13
257,Complete,951,10,2024-06-13
258,Complete,72,35,2024-06-13
259,Complete,1711,2,2024-06-13
260,Cancelled,732,21,2024-06-13
261,In Process,1573,17,2024-06-13
262,Cancelled,875,30,2024-06-13
263,In Process,1723,14,2024-06-13
264,Cancelled,1302,6,2024-06-13
265,In Process,1467,33,2024-06-13
266,In Process,561,22,2024-06-13
267,In Delivery,65,28,2024-06-13
268,In Process,1902,23,2024-06-13
269,Cancelled,1280,3,2024-06-13
270,Complete,1830,13,2024-06-13
271,Cancelled,861,39,2024-06-13
272,Complete,678,38,2024-06-13
273,In Delivery,541,28,2024-06-13
274,In Process,1660,32,2024-06-13
275,In Delivery,1597,22,2024-06-13
276,In Delivery,1114,5,2024-06-13
277,Cancelled,806,1,2024-06-13
278,Complete,1059,5,2024-06-13
279,In Process,1815,7,2024-06-13
280,Cancelled,1344,29,2024-06-13
281,Cancelled,1671,25,2024-06-13
282,In Delivery,1308,35,2024-06-13
283,Cancelled,1650,40,2024-06-13
284,Complete,1644,16,2024-06-13
285,In Delivery,580,18,2024-06-13
286,In Process,1594,20,2024-06-13
287,In Process,1882,32,2024-06-13
288,In Process,1433,27,2024-06-13
289,Cancelled,328,24,2024-06-13
290,In Process,1058,22,2024-06-13
291,In Delivery,1742,37,2024-06-13
292,Complete,1785,19,2024-06-13
293,In Process,494,7,2024-06-13
294,In Process,177,15,2024-06-13
295,In Process,73,25,2024-06-13
296,In Delivery,507,1,2024-06-13
297,Cancelled,116,16,2024-06-13
298,In Delivery,1795,9,2024-06-13
299,Cancelled,1862,24,2024-06-13
300,Complete,1919,20,2024-06-13
301,Complete,1699,24,2024-06-13
302,Cancelled,1887,13,2024-06-13
303,Complete,1469,25,2024-06-13
304,Complete,1941,24,2024-06-13
305,Cancelled,1590,6,2024-06-13
306,Complete,1473,23,2024-06-13
307,In Process,285,31,2024-06-13
308,Complete,100,37,2024-06-13
309,In Process,301,20,2024-06-13
310,Cancelled,1197,10,2024-06-13
311,Complete,1733,34,2024-06-13
312,In Process,159,17,2024-06-13
313,Cancelled,1253,12,2024-06-13
314,Complete,1964,5,2024-06-13
315,Complete,1026,39,2024-06-13
316,In Process,657,18,2024-06-13
317,In Process,318,34,2024-06-13
318,In Delivery,1351,17,2024-06-13
319,In Process,646,4,2024-06-13
320,Complete,729,24,2024-06-13
321,In Delivery,816,6,2024-06-13
322,In Delivery,1055,16,2024-06-13
323,Complete,938,3,2024-06-13
324,Cancelled,897,6,2024-06-13
325,In Process,1002,24,2024-06-13
326,In Process,1181,6,2024-06-13
327,Cancelled,1070,26,2024-06-13
328,In Process,646,25,2024-06-13
329,Complete,1745,30,2024-06-13
330,In Delivery,439,8,2024-06-13
331,In Process,1949,8,2024-06-13
332,Complete,1601,35,2024-06-13
333,Complete,124,16,2024-06-13
334,Cancelled,985,28,2024-06-13
335,Cancelled,1755,9,2024-06-13
336,Complete,1799,34,2024-06-13
337,In Delivery,1145,40,2024-06-13
338,In Delivery,1103,27,2024-06-13
339,In Delivery,738,36,2024-06-13
340,In Process,775,17,2024-06-13
341,In Process,734,15,2024-06-13
342,Complete,973,22,2024-06-13
343,Cancelled,1318,12,2024-06-13
344,Cancelled,119,11,2024-06-13
345,Complete,127,35,2024-06-13
346,Cancelled,480,38,2024-06-13
347,In Process,1959,14,2024-06-13
348,In Delivery,1728,34,2024-06-13
349,In Process,576,7,2024-06-13
350,Complete,1261,17,2024-06-13
351,Cancelled,144,1,2024-06-13
352,Complete,969,14,2024-06-13
353,Cancelled,976,30,2024-06-13
354,Cancelled,623,7,2024-06-13
355,In Delivery,915,29,2024-06-13
356,In Process,1663,3,2024-06-13
357,Cancelled,951,5,2024-06-13
358,In Delivery,1315,2,2024-06-13
359,In Process,1340,8,2024-06-13
360,In Delivery,1307,26,2024-06-13
361,Complete,1127,21,2024-06-13
362,Cancelled,1144,28,2024-06-13
363,In Delivery,1502,12,2024-06-13
364,Cancelled,605,14,2024-06-13
365,Cancelled,577,10,2024-06-13
366,In Delivery,241,14,2024-06-13
367,In Delivery,1189,7,2024-06-13
368,Complete,1108,35,2024-06-13
369,Complete,857,3,2024-06-13
370,Cancelled,168,11,2024-06-13
371,Cancelled,1469,38,2024-06-13
372,Complete,160,32,2024-06-13
373,In Process,447,36,2024-06-13
374,Cancelled,964,36,2024-06-13
375,Complete,1016,33,2024-06-13
376,In Delivery,1434,34,2024-06-13
377,In Delivery,1853,16,2024-06-13
378,In Process,1705,19,2024-06-13
379,In Process,1178,26,2024-06-13
380,In Delivery,1319,32,2024-06-13
381,In Delivery,1571,15,2024-06-13
382,In Process,941,18,2024-06-13
383,In Process,1362,12,2024-06-13
384,In Process,1545,4,2024-06-13
385,Cancelled,100,21,2024-06-13
386,In Delivery,1493,15,2024-06-13
387,Complete,1003,17,2024-06-13
388,Cancelled,1128,3,2024-06-13
389,In Process,1899,40,2024-06-13
390,Cancelled,1107,1,2024-06-13
391,Complete,10,17,2024-06-13
392,In Delivery,1450,4,2024-06-13
393,In Delivery,581,12,2024-06-13
394,In Process,580,26,2024-06-13
395,In Process,1240,8,2024-06-13
396,Complete,1800,28,2024-06-13
397,In Delivery,1851,35,2024-06-13
398,Cancelled,1682,30,2024-06-13
399,Complete,254,35,2024-06-13
400,Cancelled,180,20,2024-06-13
401,In Delivery,1829,4,2024-06-13
402,Cancelled,1534,7,2024-06-13
403,In Process,1749,23,2024-06-13
404,Complete,1582,38,2024-06-13
405,In Process,1089,1,2024-06-13
406,In Delivery,268,22,2024-06-13
407,Complete,50,19,2024-06-13
408,Cancelled,1141,7,2024-06-13
409,Complete,1019,17,2024-06-13
410,In Delivery,1209,21,2024-06-13
411,In Process,1119,32,2024-06-13
412,Cancelled,321,37,2024-06-13
413,Cancelled,1796,28,2024-06-13
414,Cancelled,1937,17,2024-06-13
415,In Delivery,1394,34,2024-06-13
416,In Process,1516,29,2024-06-13
417,Cancelled,1783,29,2024-06-13
418,Cancelled,1632,36,2024-06-13
419,In Delivery,1666,32,2024-06-13
420,Complete,233,5,2024-06-13
421,Complete,1920,23,2024-06-13
422,In Process,5,39,2024-06-13
423,In Delivery,571,32,2024-06-13
424,Complete,1653,37,2024-06-13
425,In Process,905,21,2024-06-13
426,Cancelled,803,9,2024-06-13
427,In Delivery,1632,29,2024-06-13
428,Cancelled,1198,4,2024-06-13
429,In Process,1255,27,2024-06-13
430,Cancelled,1387,15,2024-06-13
431,In Process,932,26,2024-06-13
432,Cancelled,1956,17,2024-06-13
433,Complete,948,18,2024-06-13
434,In Delivery,1204,9,2024-06-13
435,In Process,567,18,2024-06-13
436,In Process,91,20,2024-06-13
437,Complete,239,19,2024-06-13
438,Complete,1869,16,2024-06-13
439,Cancelled,616,30,2024-06-13
440,Cancelled,1058,7,2024-06-13
441,Cancelled,1441,40,2024-06-13
442,Cancelled,504,7,2024-06-13
443,Cancelled,713,2,2024-06-13
444,In Delivery,1896,20,2024-06-13
445,Complete,292,23,2024-06-13
446,Complete,1778,25,2024-06-13
447,Cancelled,1870,14,2024-06-13
448,In Delivery,270,21,2024-06-13
449,In Process,1249,16,2024-06-13
450,In Process,378,35,2024-06-13
451,In Delivery,88,12,2024-06-13
452,Complete,522,33,2024-06-13
453,In Process,119,31,2024-06-13
454,In Process,1806,18,2024-06-13
455,Cancelled,1211,2,2024-06-13
456,In Delivery,412,23,2024-06-13
457,In Delivery,1145,28,2024-06-13
458,In Delivery,1606,36,2024-06-13
459,In Process,1084,32,2024-06-13
460,Cancelled,1251,10,2024-06-13
461,Cancelled,4,34,2024-06-13
462,Cancelled,1418,16,2024-06-13
463,In Process,1793,14,2024-06-13
464,Complete,142,6,2024-06-13
465,Cancelled,1616,21,2024-06-13
466,In Delivery,731,28,2024-06-13
467,Cancelled,1207,19,2024-06-13
468,In Delivery,108,30,2024-06-13
469,Complete,777,30,2024-06-13
470,In Delivery,903,14,2024-06-13
471,In Process,1432,33,2024-06-13
472,Complete,1765,8,2024-06-13
473,In Delivery,559,18,2024-06-13
474,In Process,423,37,2024-06-13
475,In Process,134,31,2024-06-13
476,In Process,1820,4,2024-06-13
477,Cancelled,1555,27,2024-06-13
478,Complete,596,4,2024-06-13
479,In Process,281,26,2024-06-13
480,Complete,52,40,2024-06-13
481,In Delivery,3,6,2024-06-13
482,Complete,916,19,2024-06-13
483,Cancelled,1450,32,2024-06-13
484,In Process,1965,35,2024-06-13
485,Cancelled,882,6,2024-06-13
486,Cancelled,1850,5,2024-06-13
487,In Process,593,24,2024-06-13
488,Complete,1444,26,2024-06-13
489,Complete,28,38,2024-06-13
490,Cancelled,1280,6,2024-06-13
491,Complete,1061,4,2024-06-13
492,Cancelled,482,13,2024-06-13
493,In Delivery,460,39,2024-06-13
494,Complete,1437,21,2024-06-13
495,In Delivery,758,22,2024-06-13
496,In Process,1770,19,2024-06-13
497,Cancelled,1890,18,2024-06-13
498,Cancelled,1285,39,2024-06-13
499,Complete,1429,15,2024-06-13
500,In Delivery,1798,9,2024-06-13
501,In Delivery,416,19,2024-06-13
502,In Process,1680,35,2024-06-13
503,Complete,1319,27,2024-06-13
504,Complete,369,39,2024-06-13
505,In Delivery,1505,39,2024-06-13
506,Complete,1143,30,2024-06-13
507,Cancelled,1649,27,2024-06-13
508,In Delivery,1688,19,2024-06-13
509,Complete,200,34,2024-06-13
510,Complete,135,31,2024-06-13
511,In Process,1278,7,2024-06-13
512,Cancelled,456,33,2024-06-13
513,In Process,1927,29,2024-06-13
514,Complete,1159,9,2024-06-13
515,In Process,1393,37,2024-06-13
516,In Process,1980,30,2024-06-13
517,Complete,1782,38,2024-06-13
518,In Process,1457,27,2024-06-13
519,Cancelled,791,24,2024-06-13
520,Cancelled,377,22,2024-06-13
521,Cancelled,1211,24,2024-06-13
522,Cancelled,891,26,2024-06-13
523,Cancelled,923,4,2024-06-13
524,In Process,1776,23,2024-06-13
525,In Process,1552,26,2024-06-13
526,In Delivery,1118,3,2024-06-13
527,Complete,869,38,2024-06-13
528,In Process,1475,11,2024-06-13
529,In Process,991,27,2024-06-13
530,Cancelled,75,19,2024-06-13
531,Cancelled,1328,18,2024-06-13
532,Complete,99,10,2024-06-13
533,Complete,535,28,2024-06-13
534,Cancelled,1598,35,2024-06-13
535,Cancelled,803,39,2024-06-13
536,In Delivery,895,39,2024-06-13
537,Complete,169,5,2024-06-13
538,Complete,1552,14,2024-06-13
539,Cancelled,809,16,2024-06-13
540,In Delivery,858,1,2024-06-13
541,In Process,256,28,2024-06-13
542,In Delivery,650,40,2024-06-13
543,In Delivery,497,8,2024-06-13
544,In Process,116,38,2024-06-13
545,In Delivery,1909,12,2024-06-13
546,Cancelled,959,5,2024-06-13
547,In Delivery,465,25,2024-06-13
548,Cancelled,1842,10,2024-06-13
549,In Process,833,12,2024-06-13
550,In Process,38,19,2024-06-13
551,In Delivery,1173,22,2024-06-13
552,Cancelled,22,21,2024-06-13
553,In Process,803,38,2024-06-13
554,Complete,1931,28,2024-06-13
555,In Delivery,1770,8,2024-06-13
556,Cancelled,258,26,2024-06-13
557,In Process,1037,21,2024-06-13
558,In Delivery,794,22,2024-06-13
559,In Delivery,661,4,2024-06-13
560,Cancelled,378,22,2024-06-13
561,In Delivery,1922,20,2024-06-13
562,In Process,412,24,2024-06-13
563,In Delivery,1426,3,2024-06-13
564,Cancelled,1155,5,2024-06-13
565,In Delivery,33,38,2024-06-13
566,In Delivery,1807,31,2024-06-13
567,In Delivery,109,37,2024-06-13
568,Cancelled,1346,6,2024-06-13
569,In Process,1497,7,2024-06-13
570,Cancelled,939,9,2024-06-13
571,In Process,1294,6,2024-06-13
572,Cancelled,631,3,2024-06-13
573,In Process,1480,35,2024-06-13
574,Cancelled,532,17,2024-06-13
575,In Delivery,1659,31,2024-06-13
576,In Process,1919,28,2024-06-13
577,In Delivery,927,20,2024-06-13
578,Complete,1541,33,2024-06-13
579,Complete,1027,9,2024-06-13
580,In Delivery,1973,10,2024-06-13
581,Cancelled,478,12,2024-06-13
582,In Process,1529,26,2024-06-13
583,Complete,460,17,2024-06-13
584,In Delivery,962,37,2024-06-13
585,In Process,1924,2,2024-06-13
586,In Process,1017,19,2024-06-13
587,In Delivery,1366,39,2024-06-13
588,Complete,1623,5,2024-06-13
589,Complete,1304,7,2024-06-13
590,In Process,837,36,2024-06-13
591,In Delivery,1467,24,2024-06-13
592,In Process,1957,16,2024-06-13
593,Cancelled,1320,33,2024-06-13
594,In Delivery,346,1,2024-06-13
595,In Delivery,1434,9,2024-06-13
596,In Delivery,87,3,2024-06-13
597,Complete,327,28,2024-06-13
598,Complete,543,31,2024-06-13
599,In Process,1708,14,2024-06-13
600,Cancelled,711,29,2024-06-13
601,Cancelled,896,28,2024-06-13
602,In Process,1100,6,2024-06-13
603,In Delivery,656,8,2024-06-13
604,In Process,709,11,2024-06-13
605,In Process,991,9,2024-06-13
606,In Delivery,923,32,2024-06-13
607,In Process,372,12,2024-06-13
608,In Delivery,622,12,2024-06-13
609,Cancelled,1777,31,2024-06-13
610,In Process,296,23,2024-06-13
611,Complete,820,29,2024-06-13
612,In Process,533,5,2024-06-13
613,In Delivery,1505,40,2024-06-13
614,In Delivery,814,23,2024-06-13
615,Complete,450,37,2024-06-13
616,In Delivery,21,25,2024-06-13
617,In Delivery,283,24,2024-06-13
618,In Process,1381,15,2024-06-13
619,Complete,262,16,2024-06-13
620,Cancelled,526,11,2024-06-13
621,Complete,300,9,2024-06-13
622,Complete,64,23,2024-06-13
623,Complete,1236,23,2024-06-13
624,In Process,117,7,2024-06-13
625,Cancelled,1290,24,2024-06-13
626,Cancelled,751,19,2024-06-13
627,In Delivery,376,32,2024-06-13
628,In Process,1912,10,2024-06-13
629,Cancelled,1215,20,2024-06-13
630,In Delivery,1957,29,2024-06-13
631,Cancelled,1570,36,2024-06-13
632,Complete,200,11,2024-06-13
633,In Process,1162,35,2024-06-13
634,In Delivery,621,34,2024-06-13
635,Cancelled,1111,3,2024-06-13
636,Cancelled,229,8,2024-06-13
637,Complete,1404,24,2024-06-13
638,Cancelled,1454,4,2024-06-13
639,Cancelled,1622,1,2024-06-13
640,Complete,1738,34,2024-06-13
641,In Process,229,40,2024-06-13
642,In Process,1359,21,2024-06-13
643,Cancelled,337,38,2024-06-13
644,Cancelled,1262,19,2024-06-13
645,Complete,1356,11,2024-06-13
646,In Delivery,381,19,2024-06-13
647,Complete,1338,37,2024-06-13
648,Cancelled,773,38,2024-06-13
649,In Process,1575,19,2024-06-13
650,Cancelled,111,16,2024-06-13
651,Complete,1563,27,2024-06-13
652,In Process,258,15,2024-06-13
653,In Process,1950,22,2024-06-13
654,Complete,1449,20,2024-06-13
655,In Delivery,653,23,2024-06-13
656,In Delivery,1969,12,2024-06-13
657,Complete,1347,25,2024-06-13
658,In Delivery,367,40,2024-06-13
659,In Process,1112,38,2024-06-13
660,Complete,1928,36,2024-06-13
661,In Delivery,1257,15,2024-06-13
662,In Process,795,36,2024-06-13
663,Complete,753,34,2024-06-13
664,Cancelled,611,18,2024-06-13
665,In Process,58,15,2024-06-13
666,Complete,1321,23,2024-06-13
667,In Delivery,873,27,2024-06-13
668,In Process,1639,37,2024-06-13
669,In Process,246,31,2024-06-13
670,In Delivery,1688,12,2024-06-13
671,Cancelled,540,36,2024-06-13
672,Cancelled,468,6,2024-06-13
673,In Delivery,1992,2,2024-06-13
674,In Process,1169,17,2024-06-13
675,In Process,1136,40,2024-06-13
676,Complete,1163,4,2024-06-13
677,In Delivery,1243,40,2024-06-13
678,In Process,1109,6,2024-06-13
679,Complete,2,38,2024-06-13
680,Complete,319,24,2024-06-13
681,Complete,680,33,2024-06-13
682,In Delivery,1315,37,2024-06-13
683,In Delivery,34,4,2024-06-13
684,Complete,435,40,2024-06-13
685,In Process,159,28,2024-06-13
686,In Process,1835,39,2024-06-13
687,Complete,236,24,2024-06-13
688,Complete,1320,29,2024-06-13
689,Complete,1103,37,2024-06-13
690,Complete,33,20,2024-06-13
691,Cancelled,1837,40,2024-06-13
692,Cancelled,441,27,2024-06-13
693,Complete,1371,23,2024-06-13
694,Cancelled,707,6,2024-06-13
695,In Process,1454,9,2024-06-13
696,Cancelled,449,29,2024-06-13
697,Cancelled,1493,15,2024-06-13
698,Complete,822,4,2024-06-13
699,Complete,816,36,2024-06-13
700,In Delivery,1444,33,2024-06-13
701,Complete,142,5,2024-06-13
702,In Process,50,8,2024-06-13
703,In Process,1145,12,2024-06-13
704,In Process,175,28,2024-06-13
705,In Delivery,179,16,2024-06-13
706,Complete,860,17,2024-06-13
707,In Process,1032,26,2024-06-13
708,In Delivery,1735,36,2024-06-13
709,In Delivery,1100,21,2024-06-13
710,In Process,322,35,2024-06-13
711,In Process,1792,38,2024-06-13
712,In Process,1402,19,2024-06-13
713,In Delivery,1133,36,2024-06-13
714,Cancelled,1971,12,2024-06-13
715,Cancelled,936,39,2024-06-13
716,Complete,737,15,2024-06-13
717,Complete,1066,28,2024-06-13
718,Complete,220,37,2024-06-13
719,Complete,238,37,2024-06-13
720,Complete,1711,2,2024-06-13
721,Cancelled,327,4,2024-06-13
722,In Process,1730,19,2024-06-13
723,In Delivery,33,16,2024-06-13
724,In Delivery,127,30,2024-06-13
725,Complete,111,35,2024-06-13
726,In Process,290,40,2024-06-13
727,Cancelled,491,23,2024-06-13
728,Complete,580,14,2024-06-13
729,Cancelled,915,21,2024-06-13
730,Complete,1172,38,2024-06-13
731,In Process,1958,32,2024-06-13
732,In Delivery,1010,21,2024-06-13
733,In Process,464,36,2024-06-13
734,Complete,76,2,2024-06-13
735,Complete,1943,38,2024-06-13
736,In Process,1210,37,2024-06-13
737,In Delivery,91,30,2024-06-13
738,In Delivery,492,10,2024-06-13
739,In Process,1160,3,2024-06-13
740,Cancelled,1984,11,2024-06-13
741,Complete,307,38,2024-06-13
742,In Delivery,599,14,2024-06-13
743,Complete,221,12,2024-06-13
744,In Process,633,4,2024-06-13
745,Cancelled,614,12,2024-06-13
746,Complete,1868,32,2024-06-13
747,In Process,873,30,2024-06-13
748,In Delivery,494,38,2024-06-13
749,In Delivery,1101,6,2024-06-13
750,Cancelled,643,17,2024-06-13
751,In Process,1388,3,2024-06-13
752,In Process,939,1,2024-06-13
753,In Process,1730,39,2024-06-13
754,In Delivery,684,16,2024-06-13
755,Complete,1753,11,2024-06-13
